customer_id,verified_review_count
14873747,1
14875875,3
14876170,1
14880461,2
14889929,1
14890666,1
14893531,1
14893687,1
14893959,1
14895859,1
14898560,1
14898944,1
14899674,1
14899783,1
14906473,2
14907427,2
14909189,1
14911170,1
14912037,1
14915639,1
14915651,1
14924702,1
14926701,1
14927147,2
14931730,1
14932321,1
14932803,1
14932966,1
14934064,1
14935549,1
14935895,1
14937846,1
14939485,3
14939686,1
14940739,1
14941294,1
14945803,2
14946846,1
14948423,1
14949284,1
14949872,1
14950476,2
14951362,1
14951670,1
14951804,1
14954614,1
14958051,1
14958700,1
14960938,1
14963364,1
14963464,2
14964026,1
14964433,1
14965499,1
14969564,1
14970931,1
14972730,2
14972793,1
14975009,1
14976666,1
14978041,2
14979479,1
14980720,4
14981908,1
14988026,1
14988658,1
14992134,1
14993608,1
14994918,1
14996817,1
14999595,1
14999804,2
14999892,1
15000076,1
15005518,2
15014445,1
15014464,1
15017876,1
15018033,1
15019587,1
15024877,1
15024961,1
15027042,1
15027251,1
15029388,1
15031027,1
15032258,1
15036936,1
15038394,1
15039335,1
15044080,1
15052476,1
15053034,1
15059522,1
15060958,1
15064020,1
15064541,1
15074615,3
15075280,3
15076452,1
15080145,2
15081378,3
15082259,1
15084999,1
15086118,1
15090926,1
15092507,1
15095104,3
15096831,2
15097427,1
15098823,11
15099740,1
15099902,2
15101976,2
15104238,1
15106283,1
15106635,2
15108145,2
15112245,1
15112277,1
15113943,1
15116793,1
15118564,2
15118988,1
15121156,1
15122368,3
15123647,1
15124037,1
15125790,2
15136432,1
15137447,1
15137686,1
15140944,1
15142881,2
15143999,1
15144512,1
15147067,1
15152386,1
15154118,1
15159950,4
15164479,1
15164829,1
15164874,1
15166301,1
15168694,1
15173313,1
15174771,2
15176552,1
15176675,3
15179492,1
15183730,1
15185020,1
15189798,1
15190818,1
15197398,1
15204654,3
15205161,2
15205420,1
15205896,1
15206435,1
15208557,2
15210094,3
15211467,1
15214443,1
15214722,1
15221841,1
15224290,1
15225393,1
15226751,1
15228639,1
15229643,1
15234865,1
15248464,1
15250138,1
15251248,1
15253392,1
15254678,3
15257807,1
15258355,2
15259538,2
15264363,2
15266090,1
15267767,1
15268633,1
15269646,1
15276220,1
15277410,1
15277558,1
15277565,1
15277986,1
15280172,1
15285105,2
15292242,1
15294678,1
15299219,1
15299317,4
15300305,2
15301099,1
15301849,1
15303009,1
15307863,1
15308740,1
15309973,1
15310478,1
15311671,1
15312123,2
15317181,1
15318588,1
15318669,1
15320733,1
15322214,2
15322245,2
15323406,2
15325671,1
15328747,1
15329288,1
15329696,1
15332272,1
15333367,1
